s_id,direction,lane,lat,long,month,dailytraffic
189,3,1,43.875208,116.976326,1,95564
700114,5,1,28.00176,80.562,1,266243
189,7,1,33.94111,84.5269,1,90940
101581,5,1,32.879661,111.615066,1,79349
201,5,0,39.662118,106.085181,1,106078
101519,3,1,34.294999,110.186759,1,43738
31,5,1,43.488773,111.349743,1,132243
101422,3,2,33.291208,111.929344,1,593038
101422,3,1,33.291208,111.929344,1,387934
101408,7,4,33.328546,111.673751,1,248825
700229,1,1,33.252789,92.661935,1,60850
205,3,0,40.376882,105.480305,1,68871
101408,7,3,33.328546,111.673751,1,756678
31,5,1,39.9062,80.7558,1,132243
205,7,0,40.376882,105.480305,1,66858
700229,5,1,33.252789,92.661935,1,60858
101408,7,2,33.328546,111.673751,1,301483
101408,7,1,33.328546,111.673751,1,232514
206,3,0,40.080132,102.093201,1,16438
31,5,1,30.329407,87.683026,1,132243
101408,3,4,33.328546,111.673751,1,181345
101408,3,3,33.328546,111.673751,1,350189
206,7,0,40.080132,102.093201,1,15588
101408,3,2,33.328546,111.673751,1,365466
101408,3,1,33.328546,111.673751,1,257167
208,3,0,32.729705,97.606773,1,23004
31,1,3,30.329407,87.683026,1,89062
101422,3,3,33.291208,111.929344,1,539779
32,1,1,33.881531,78.601617,1,181680
101422,3,4,33.291208,111.929344,1,411679
700134,5,3,27.95394,80.61009,1,214652
101483,7,2,34.708543,111.994388,1,233731
700134,1,3,27.95394,80.61009,1,209070
101483,7,1,34.708543,111.994388,1,162205
101483,3,2,34.708543,111.994388,1,202297
202,3,0,37.633028,104.765496,1,10504
32,1,1,30.283723,87.686463,1,181680
101483,3,1,34.708543,111.994388,1,195936
101481,7,1,33.073815,112.082982,1,79335
700134,5,1,27.95394,80.61009,1,214186
101481,3,1,33.073815,112.082982,1,108010
202,7,0,37.633028,104.765496,1,9642
31,5,2,39.9062,80.7558,1,129749
101434,7,0,40.407191,104.996418,1,764060
700134,5,2,27.95394,80.61009,1,344489
101434,3,0,40.407191,104.996418,1,822972
101422,7,5,33.291208,111.929344,1,235465
101422,7,4,33.291208,111.929344,1,476916
31,5,2,30.329407,87.683026,1,129749
101422,7,3,33.291208,111.929344,1,584193
101422,7,2,33.291208,111.929344,1,478963
101422,7,1,33.291208,111.929344,1,346237
101422,3,5,33.291208,111.929344,1,206958
158,5,6,33.558282,86.830315,1,13955
180,5,2,34.774272,83.075817,1,190326
32,1,2,43.41422,110.7727,1,219937
179,1,1,44.210317,95.75485,1,145291
32,5,1,44.15416,92.533333,1,284810
